# Family & people — one pair per line, Spanish first: "spanish, english"
madre, mother
padre, father
hijo, son
hija, daughter
hermano, brother
hermana, sister
abuelo, grandfather
abuela, grandmother
tío, uncle
tía, aunt
primo, cousin
esposo, husband
esposa, wife
amigo, friend
vecino, neighbor
niño, child
bebé, baby
gente, people
hombre, man
mujer, woman
jefe, boss
médico, doctor
maestro, teacher
familia, family
novio, boyfriend
novia, girlfriend
sobrino, nephew
sobrina, niece
pariente, relative
gemelo, twin
